Period,DUID,Delta,Contract
2020-01-31,BERYLSF1,12.856767324589072,Ex-post DWA
2020-02-29,BERYLSF1,-0.09761659395407918,Ex-post DWA
2020-03-31,BERYLSF1,-0.2157241793261946,Ex-post DWA
2020-04-30,BERYLSF1,-1.3841570051923,Ex-post DWA
2020-05-31,BERYLSF1,-0.9776976861371196,Ex-post DWA
2020-06-30,BERYLSF1,-0.674355710458336,Ex-post DWA
2020-07-31,BERYLSF1,0.265243855328805,Ex-post DWA
2020-08-31,BERYLSF1,0.048036529346767054,Ex-post DWA
2020-09-30,BERYLSF1,-0.5846239545664531,Ex-post DWA
2020-10-31,BERYLSF1,3.8386131385314357,Ex-post DWA
2020-11-30,BERYLSF1,2.3676454653116963,Ex-post DWA
2020-12-31,BERYLSF1,-17.41693201853684,Ex-post DWA
2021-01-31,BERYLSF1,0.44603323813846174,Ex-post DWA
2021-02-28,BERYLSF1,0.04209540249302535,Ex-post DWA
2021-03-31,BERYLSF1,-0.31410693648193444,Ex-post DWA
2021-04-30,BERYLSF1,-0.4094284220951536,Ex-post DWA
2021-05-31,BERYLSF1,-1.6867045801896339,Ex-post DWA
2021-06-30,BERYLSF1,3.2744469136308822,Ex-post DWA
2021-07-31,BERYLSF1,1.5202529388483015,Ex-post DWA
2021-08-31,BERYLSF1,-2.5565925753325445,Ex-post DWA
2021-09-30,BERYLSF1,-1.0426240613264532,Ex-post DWA
2021-10-31,BERYLSF1,2.2216840809928797,Ex-post DWA
2021-11-30,BERYLSF1,-2.114701598359126,Ex-post DWA
2021-12-31,BERYLSF1,-0.8079970801947383,Ex-post DWA
2022-01-31,BERYLSF1,0.5830572172280597,Ex-post DWA
2022-02-28,BERYLSF1,-3.023585482309059,Ex-post DWA
2022-03-31,BERYLSF1,-2.809008265418825,Ex-post DWA
2022-04-30,BERYLSF1,-3.6352320459170073,Ex-post DWA
2022-05-31,BERYLSF1,-3.8744789842613443,Ex-post DWA
2022-06-30,BERYLSF1,-2.6807815561436428,Ex-post DWA
2022-07-31,BERYLSF1,-13.893398638091014,Ex-post DWA
2022-08-31,BERYLSF1,-1.154678976851912,Ex-post DWA
2022-09-30,BERYLSF1,-4.322840838445003,Ex-post DWA
2022-10-31,BERYLSF1,-5.09059797738756,Ex-post DWA
2022-11-30,BERYLSF1,-2.3370348300967123,Ex-post DWA
2022-12-31,BERYLSF1,-5.106859755833391,Ex-post DWA
2023-01-31,BERYLSF1,-0.39373746483370553,Ex-post DWA
2023-02-28,BERYLSF1,-4.4955759723708155,Ex-post DWA
2023-03-31,BERYLSF1,-7.576296131216964,Ex-post DWA
2023-04-30,BERYLSF1,1.750762905962631,Ex-post DWA
2023-05-31,BERYLSF1,-4.933125647244751,Ex-post DWA
2023-06-30,BERYLSF1,-1.7094387327224752,Ex-post DWA
2023-07-31,BERYLSF1,2.319034742925922,Ex-post DWA
2023-08-31,BERYLSF1,-3.270207648659259,Ex-post DWA
2023-09-30,BERYLSF1,3.8132522693641633,Ex-post DWA
2023-10-31,BERYLSF1,-0.12303605423613106,Ex-post DWA
2023-11-30,BERYLSF1,-11.500951432164932,Ex-post DWA
2023-12-31,BERYLSF1,-1.860231344701475,Ex-post DWA
2024-01-31,BERYLSF1,-6.81390440980973,Ex-post DWA
2024-02-29,BERYLSF1,-21.97337691784552,Ex-post DWA
2024-03-31,BERYLSF1,-2.6206132916929974,Ex-post DWA
2024-04-30,BERYLSF1,-5.4286256924389775,Ex-post DWA
2024-05-31,BERYLSF1,26.091398390242716,Ex-post DWA
2024-06-30,BERYLSF1,-3.4149518215757695,Ex-post DWA
2024-07-31,BERYLSF1,-2.5637333849283976,Ex-post DWA
2024-08-31,BERYLSF1,-23.57789286855042,Ex-post DWA
2024-09-30,BERYLSF1,5.903294050513304,Ex-post DWA
2024-10-31,BERYLSF1,-2.958627339512752,Ex-post DWA
2024-11-30,BERYLSF1,-40.14559358017351,Ex-post DWA
2024-12-31,BERYLSF1,-11.42354992271855,Ex-post DWA
2020-01-31,BROKENH1,-56.71713503297218,Ex-post DWA
2020-02-29,BROKENH1,0.48391017499633193,Ex-post DWA
2020-03-31,BROKENH1,0.17578657421837107,Ex-post DWA
2020-04-30,BROKENH1,-0.3327022685223078,Ex-post DWA
2020-05-31,BROKENH1,-0.9668623702519312,Ex-post DWA
2020-06-30,BROKENH1,0.5861922911502546,Ex-post DWA
2020-07-31,BROKENH1,0.36834819963718957,Ex-post DWA
2020-08-31,BROKENH1,0.956168789798916,Ex-post DWA
2020-09-30,BROKENH1,-0.3185185734541065,Ex-post DWA
2020-10-31,BROKENH1,-2.5174584040569883,Ex-post DWA
2020-11-30,BROKENH1,3.8611690785185573,Ex-post DWA
2020-12-31,BROKENH1,17.938881878661533,Ex-post DWA
2021-01-31,BROKENH1,0.05063954258242376,Ex-post DWA
2021-02-28,BROKENH1,-0.044156542286728495,Ex-post DWA
2021-03-31,BROKENH1,1.0732928019646337,Ex-post DWA
2021-04-30,BROKENH1,-0.7845751292495251,Ex-post DWA
2021-05-31,BROKENH1,4.539359769602974,Ex-post DWA
2021-06-30,BROKENH1,0.42891806849239345,Ex-post DWA
2021-07-31,BROKENH1,8.940224326635601,Ex-post DWA
2021-08-31,BROKENH1,-2.8022938730230145,Ex-post DWA
2021-09-30,BROKENH1,-0.21004950703093428,Ex-post DWA
2021-10-31,BROKENH1,-3.1055358426112676,Ex-post DWA
2021-11-30,BROKENH1,-11.255494338611456,Ex-post DWA
2021-12-31,BROKENH1,4.644332977838303,Ex-post DWA
2022-01-31,BROKENH1,0.5076320831245056,Ex-post DWA
2022-02-28,BROKENH1,3.724409599548352,Ex-post DWA
2022-03-31,BROKENH1,2.351792638864538,Ex-post DWA
2022-04-30,BROKENH1,15.002728449111345,Ex-post DWA
2022-05-31,BROKENH1,3.728673110381777,Ex-post DWA
2022-06-30,BROKENH1,-1.4075442707501793,Ex-post DWA
2022-07-31,BROKENH1,24.21930996231123,Ex-post DWA
2022-08-31,BROKENH1,1.3050805673635608,Ex-post DWA
2022-09-30,BROKENH1,8.413261738158525,Ex-post DWA
2022-10-31,BROKENH1,7.257882842975803,Ex-post DWA
2022-11-30,BROKENH1,-7.512763333750769,Ex-post DWA
2022-12-31,BROKENH1,-0.6158159577864453,Ex-post DWA
2023-01-31,BROKENH1,-2.413440394661464,Ex-post DWA
2023-02-28,BROKENH1,-2.5718945016199086,Ex-post DWA
2023-03-31,BROKENH1,3.3839123269535207,Ex-post DWA
2023-04-30,BROKENH1,1.350712801662624,Ex-post DWA
2023-05-31,BROKENH1,2.8247380145500642,Ex-post DWA
2023-06-30,BROKENH1,2.307695011885457,Ex-post DWA
2023-07-31,BROKENH1,-4.359647373596076,Ex-post DWA
2023-08-31,BROKENH1,0.7207788431854141,Ex-post DWA
2023-09-30,BROKENH1,-2.4198822283252035,Ex-post DWA
2023-10-31,BROKENH1,-8.369300109745659,Ex-post DWA
2023-11-30,BROKENH1,-5.336702532048008,Ex-post DWA
2023-12-31,BROKENH1,1.452826120779477,Ex-post DWA
2024-01-31,BROKENH1,-4.87991203131665,Ex-post DWA
2024-02-29,BROKENH1,23.10306168732103,Ex-post DWA
2024-03-31,BROKENH1,1.073898227230174,Ex-post DWA
2024-04-30,BROKENH1,6.741040232928086,Ex-post DWA
2024-05-31,BROKENH1,-9.49837874589636,Ex-post DWA
2024-06-30,BROKENH1,5.454046455876863,Ex-post DWA
2024-07-31,BROKENH1,6.117612812813,Ex-post DWA
2024-08-31,BROKENH1,-11.691549499383449,Ex-post DWA
2024-09-30,BROKENH1,-1.446872868625117,Ex-post DWA
2024-10-31,BROKENH1,-11.63298175784045,Ex-post DWA
2024-11-30,BROKENH1,49.0063140511416,Ex-post DWA
2024-12-31,BROKENH1,-31.364918953808598,Ex-post DWA
2020-01-31,COLEASF1,-15.223989740681418,Ex-post DWA
2020-02-29,COLEASF1,-1.5739505555429076,Ex-post DWA
2020-03-31,COLEASF1,0.19088736639249504,Ex-post DWA
2020-04-30,COLEASF1,1.0317926490513116,Ex-post DWA
2020-05-31,COLEASF1,-0.24685186956803307,Ex-post DWA
2020-06-30,COLEASF1,-6.241525969204105,Ex-post DWA
2020-07-31,COLEASF1,-0.23500581385114572,Ex-post DWA
2020-08-31,COLEASF1,-2.1055410041995444,Ex-post DWA
2020-09-30,COLEASF1,0.16343096246193767,Ex-post DWA
2020-10-31,COLEASF1,-0.9105112393772217,Ex-post DWA
2020-11-30,COLEASF1,2.0022353251881952,Ex-post DWA
2020-12-31,COLEASF1,-2.187754562449342,Ex-post DWA
2021-01-31,COLEASF1,0.2306737427746981,Ex-post DWA
2021-02-28,COLEASF1,-0.20209950631788587,Ex-post DWA
2021-03-31,COLEASF1,-0.15819858787038044,Ex-post DWA
2021-04-30,COLEASF1,-1.0400927658813615,Ex-post DWA
2021-05-31,COLEASF1,-2.2424287320442957,Ex-post DWA
2021-06-30,COLEASF1,-4.266841517372157,Ex-post DWA
2021-07-31,COLEASF1,-0.1263209147664952,Ex-post DWA
2021-08-31,COLEASF1,-0.3712279045143134,Ex-post DWA
2021-09-30,COLEASF1,0.5331339326228424,Ex-post DWA
2021-10-31,COLEASF1,1.5427659774924933,Ex-post DWA
2021-11-30,COLEASF1,-8.597372784136155,Ex-post DWA
2021-12-31,COLEASF1,0.9054145185200042,Ex-post DWA
2022-01-31,COLEASF1,-0.2659714069321524,Ex-post DWA
2022-02-28,COLEASF1,1.0471975554787747,Ex-post DWA
2022-03-31,COLEASF1,0.3380408755533324,Ex-post DWA
2022-04-30,COLEASF1,-3.7396001208034875,Ex-post DWA
2022-05-31,COLEASF1,-0.603293604355855,Ex-post DWA
2022-06-30,COLEASF1,0.505476087752811,Ex-post DWA
2022-07-31,COLEASF1,-14.841830066152454,Ex-post DWA
2022-08-31,COLEASF1,3.595331642563167,Ex-post DWA
2022-09-30,COLEASF1,-3.7494295997602194,Ex-post DWA
2022-10-31,COLEASF1,-5.212842351016832,Ex-post DWA
2022-11-30,COLEASF1,0.01729275831320365,Ex-post DWA
2022-12-31,COLEASF1,1.5823792618211527,Ex-post DWA
2023-01-31,COLEASF1,-2.2507020129520043,Ex-post DWA
2023-02-28,COLEASF1,0.627809754127469,Ex-post DWA
2023-03-31,COLEASF1,1.271604340539895,Ex-post DWA
2023-04-30,COLEASF1,-1.583691083342643,Ex-post DWA
2023-05-31,COLEASF1,-1.491629391113051,Ex-post DWA
2023-06-30,COLEASF1,-0.8769834917420596,Ex-post DWA
2023-07-31,COLEASF1,-2.3540650520832713,Ex-post DWA
2023-08-31,COLEASF1,-0.8677219666771023,Ex-post DWA
2023-09-30,COLEASF1,-5.235109422998436,Ex-post DWA
2023-10-31,COLEASF1,-10.83577048266519,Ex-post DWA
2023-11-30,COLEASF1,4.769679987348823,Ex-post DWA
2023-12-31,COLEASF1,-2.740376179758222,Ex-post DWA
2024-01-31,COLEASF1,2.929364828993819,Ex-post DWA
2024-02-29,COLEASF1,-7.063378184236427,Ex-post DWA
2024-03-31,COLEASF1,-1.2490761576206424,Ex-post DWA
2024-04-30,COLEASF1,-4.199234880001114,Ex-post DWA
2024-05-31,COLEASF1,-24.96944911206043,Ex-post DWA
2024-06-30,COLEASF1,-5.359525382440822,Ex-post DWA
2024-07-31,COLEASF1,2.6866546796233948,Ex-post DWA
2024-08-31,COLEASF1,-11.739980872893327,Ex-post DWA
2024-09-30,COLEASF1,-5.637081356184376,Ex-post DWA
2024-10-31,COLEASF1,-3.572627092419289,Ex-post DWA
2024-11-30,COLEASF1,10.182516967652049,Ex-post DWA
2024-12-31,COLEASF1,-9.961508939252624,Ex-post DWA
2020-01-31,FINLYSF1,-38.49024217467536,Ex-post DWA
2020-02-29,FINLYSF1,-2.385882893725345,Ex-post DWA
2020-03-31,FINLYSF1,0.7303339650517984,Ex-post DWA
2020-04-30,FINLYSF1,0.08187264574062425,Ex-post DWA
2020-05-31,FINLYSF1,2.6039438338871577,Ex-post DWA
2020-06-30,FINLYSF1,-1.4706272679380419,Ex-post DWA
2020-07-31,FINLYSF1,-0.7407344203050457,Ex-post DWA
2020-08-31,FINLYSF1,-1.9938120345303858,Ex-post DWA
2020-09-30,FINLYSF1,-0.0808664470067697,Ex-post DWA
2020-10-31,FINLYSF1,-3.7305245363700976,Ex-post DWA
2020-11-30,FINLYSF1,9.963924945443111,Ex-post DWA
2020-12-31,FINLYSF1,10.835064222555971,Ex-post DWA
2021-01-31,FINLYSF1,0.16356909170983158,Ex-post DWA
2021-02-28,FINLYSF1,0.09004041171770183,Ex-post DWA
