Period,DUID,Delta,Contract
2020-03-31,BERYLSF1,6.023256039924249,Ex-post DWA
2020-06-30,BERYLSF1,-1.064846788734954,Ex-post DWA
2020-09-30,BERYLSF1,-0.10445006420047775,Ex-post DWA
2020-12-31,BERYLSF1,-5.248870687798259,Ex-post DWA
2021-03-31,BERYLSF1,0.2001712643235365,Ex-post DWA
2021-06-30,BERYLSF1,-0.037964459491377056,Ex-post DWA
2021-09-30,BERYLSF1,-0.7890448255410618,Ex-post DWA
2021-12-31,BERYLSF1,-0.7496114284749709,Ex-post DWA
2022-03-31,BERYLSF1,-1.8650436228722498,Ex-post DWA
2022-06-30,BERYLSF1,0.3632531871123206,Ex-post DWA
2022-09-30,BERYLSF1,-10.307286553284882,Ex-post DWA
2022-12-31,BERYLSF1,-4.204132447707202,Ex-post DWA
2023-03-31,BERYLSF1,-3.8954126527140005,Ex-post DWA
2023-06-30,BERYLSF1,-1.035725135304844,Ex-post DWA
2023-09-30,BERYLSF1,1.1169641969628437,Ex-post DWA
2023-12-31,BERYLSF1,-6.102210932747383,Ex-post DWA
2024-03-31,BERYLSF1,-11.020263398920754,Ex-post DWA
2024-06-30,BERYLSF1,4.864007385377519,Ex-post DWA
2024-09-30,BERYLSF1,-5.3347980987555275,Ex-post DWA
2024-12-31,BERYLSF1,-16.30767597320748,Ex-post DWA
2020-03-31,BROKENH1,-20.022300041560953,Ex-post DWA
2020-06-30,BROKENH1,0.6934103642012133,Ex-post DWA
2020-09-30,BROKENH1,0.7593312039287028,Ex-post DWA
2020-12-31,BROKENH1,5.9549040123718555,Ex-post DWA
2021-03-31,BROKENH1,0.4212980178414014,Ex-post DWA
2021-06-30,BROKENH1,1.9753077897868607,Ex-post DWA
2021-09-30,BROKENH1,5.91830474942924,Ex-post DWA
2021-12-31,BROKENH1,-4.502100441994045,Ex-post DWA
2022-03-31,BROKENH1,2.872066769437069,Ex-post DWA
2022-06-30,BROKENH1,9.846938640941488,Ex-post DWA
2022-09-30,BROKENH1,14.290640772468208,Ex-post DWA
2022-12-31,BROKENH1,0.10628712702544618,Ex-post DWA
2023-03-31,BROKENH1,-0.6780966814079221,Ex-post DWA
2023-06-30,BROKENH1,1.3198094592117542,Ex-post DWA
2023-09-30,BROKENH1,-0.7433380312390732,Ex-post DWA
2023-12-31,BROKENH1,-3.583156668241614,Ex-post DWA
