Period,DUID,Delta,Contract
2020-01-05,BERYLSF1,201.80108090920777,Ex-post DWA
2020-01-12,BERYLSF1,-0.5147676758857216,Ex-post DWA
2020-01-19,BERYLSF1,-1.0422069474733462,Ex-post DWA
2020-01-26,BERYLSF1,-7.577002560031616,Ex-post DWA
2020-02-02,BERYLSF1,-125.5565857721366,Ex-post DWA
2020-02-09,BERYLSF1,-0.18279286859683452,Ex-post DWA
2020-02-16,BERYLSF1,-0.6189234734814093,Ex-post DWA
2020-02-23,BERYLSF1,-3.0242085400712497,Ex-post DWA
2020-03-01,BERYLSF1,-1.6919086099144494,Ex-post DWA
2020-03-08,BERYLSF1,-0.05196378091096676,Ex-post DWA
2020-03-15,BERYLSF1,0.3291892815620585,Ex-post DWA
2020-03-22,BERYLSF1,-0.018391539145447666,Ex-post DWA
2020-03-29,BERYLSF1,-0.732401554935727,Ex-post DWA
2020-04-05,BERYLSF1,-0.7756088340671852,Ex-post DWA
2020-04-12,BERYLSF1,-2.138557794816151,Ex-post DWA
2020-04-19,BERYLSF1,-0.14792715178807825,Ex-post DWA
2020-04-26,BERYLSF1,-0.5628978668656295,Ex-post DWA
2020-05-03,BERYLSF1,-0.2987202045621373,Ex-post DWA
2020-05-10,BERYLSF1,-0.5771201881471839,Ex-post DWA
2020-05-17,BERYLSF1,-0.6567293855207623,Ex-post DWA
2020-05-24,BERYLSF1,2.364951142348751,Ex-post DWA
2020-05-31,BERYLSF1,-0.19641995956820324,Ex-post DWA
2020-06-07,BERYLSF1,-0.5774022787499717,Ex-post DWA
2020-06-14,BERYLSF1,-2.588662614169003,Ex-post DWA
2020-06-21,BERYLSF1,-0.19584646255385252,Ex-post DWA
2020-06-28,BERYLSF1,0.00987468600329322,Ex-post DWA
2020-07-05,BERYLSF1,-0.21090387667666732,Ex-post DWA
2020-07-12,BERYLSF1,0.009993252284623111,Ex-post DWA
2020-07-19,BERYLSF1,0.776241963819956,Ex-post DWA
2020-07-26,BERYLSF1,0.5632661495079887,Ex-post DWA
2020-08-02,BERYLSF1,-0.7535323789823991,Ex-post DWA
2020-08-09,BERYLSF1,-0.6867797666021858,Ex-post DWA
2020-08-16,BERYLSF1,-1.2027990016139896,Ex-post DWA
2020-08-23,BERYLSF1,-0.5449449717517965,Ex-post DWA
2020-08-30,BERYLSF1,1.781092096455268,Ex-post DWA
2020-09-06,BERYLSF1,-0.7616721168066753,Ex-post DWA
2020-09-13,BERYLSF1,-0.7089642109749761,Ex-post DWA
2020-09-20,BERYLSF1,0.1649239649885601,Ex-post DWA
2020-09-27,BERYLSF1,-0.41612938437577185,Ex-post DWA
2020-10-04,BERYLSF1,-0.688201802777499,Ex-post DWA
2020-10-11,BERYLSF1,11.825209088296397,Ex-post DWA
2020-10-18,BERYLSF1,0.38931582677273724,Ex-post DWA
2020-10-25,BERYLSF1,8.182293783611591,Ex-post DWA
2020-11-01,BERYLSF1,0.5701576106094564,Ex-post DWA
2020-11-08,BERYLSF1,-0.5267839345608394,Ex-post DWA
2020-11-15,BERYLSF1,-0.3827030765508326,Ex-post DWA
2020-11-22,BERYLSF1,17.46580640885452,Ex-post DWA
2020-11-29,BERYLSF1,5.186994618479211,Ex-post DWA
2020-12-06,BERYLSF1,7.117794076784293,Ex-post DWA
2020-12-13,BERYLSF1,-0.5023268511671972,Ex-post DWA
2020-12-20,BERYLSF1,-16.227235318094017,Ex-post DWA
2020-12-27,BERYLSF1,-1.0837918952095933,Ex-post DWA
2021-01-03,BERYLSF1,-0.31943126543186295,Ex-post DWA
2021-01-10,BERYLSF1,-0.3408814873800807,Ex-post DWA
2021-01-17,BERYLSF1,-1.1056187678129135,Ex-post DWA
2021-01-24,BERYLSF1,4.7653468882775485,Ex-post DWA
2021-01-31,BERYLSF1,0.11093892747605594,Ex-post DWA
2021-02-07,BERYLSF1,0.13337405090305765,Ex-post DWA
2021-02-14,BERYLSF1,-0.1476117331402591,Ex-post DWA
2021-02-21,BERYLSF1,-0.11091562004028077,Ex-post DWA
2021-02-28,BERYLSF1,0.1876782362052012,Ex-post DWA
2021-03-07,BERYLSF1,0.03874020968481773,Ex-post DWA
2021-03-14,BERYLSF1,-0.6734401018629868,Ex-post DWA
2021-03-21,BERYLSF1,-0.4995811330265951,Ex-post DWA
2021-03-28,BERYLSF1,-1.070244020125287,Ex-post DWA
2021-04-04,BERYLSF1,-0.2744777200048887,Ex-post DWA
2021-04-11,BERYLSF1,-0.03773855630681666,Ex-post DWA
2021-04-18,BERYLSF1,-1.74129211712755,Ex-post DWA
2021-04-25,BERYLSF1,1.0756535618346987,Ex-post DWA
2021-05-02,BERYLSF1,-1.247156575798293,Ex-post DWA
2021-05-09,BERYLSF1,-1.35361990957756,Ex-post DWA
2021-05-16,BERYLSF1,-0.4542788116993748,Ex-post DWA
2021-05-23,BERYLSF1,-4.21771163942384,Ex-post DWA
2021-05-30,BERYLSF1,-3.239759859918145,Ex-post DWA
2021-06-06,BERYLSF1,-3.7801392785214745,Ex-post DWA
2021-06-13,BERYLSF1,0.3870297086530172,Ex-post DWA
2021-06-20,BERYLSF1,13.161464854058252,Ex-post DWA
2021-06-27,BERYLSF1,-5.017874889483124,Ex-post DWA
2021-07-04,BERYLSF1,-1.5465773414706092,Ex-post DWA
2021-07-11,BERYLSF1,-11.900897079514564,Ex-post DWA
2021-07-18,BERYLSF1,-6.904940472798103,Ex-post DWA
2021-07-25,BERYLSF1,25.291609657270413,Ex-post DWA
