Period,DUID,Delta,Contract
2020-03-31,BOCORWF1,33.6888559854832,Ex-post DWA
2020-06-30,BOCORWF1,-0.8483938247522431,Ex-post DWA
2020-09-30,BOCORWF1,-1.5773978582089612,Ex-post DWA
2020-12-31,BOCORWF1,7.775794460606271,Ex-post DWA
2021-03-31,BOCORWF1,0.47983114226128265,Ex-post DWA
2021-06-30,BOCORWF1,1.2651604356920387,Ex-post DWA
2021-09-30,BOCORWF1,-2.289821070162759,Ex-post DWA
2021-12-31,BOCORWF1,2.218134169751224,Ex-post DWA
2022-03-31,BOCORWF1,2.4564972830998073,Ex-post DWA
2022-06-30,BOCORWF1,54.6768507950938,Ex-post DWA
2022-09-30,BOCORWF1,-19.797163957287836,Ex-post DWA
2022-12-31,BOCORWF1,-3.080697302709524,Ex-post DWA
2023-03-31,BOCORWF1,10.852425520417981,Ex-post DWA
2023-06-30,BOCORWF1,-3.272614620198823,Ex-post DWA
2023-09-30,BOCORWF1,-0.5432742439253957,Ex-post DWA
2023-12-31,BOCORWF1,-1.526400902707195,Ex-post DWA
2024-03-31,BOCORWF1,39.8904643841134,Ex-post DWA
2024-06-30,BOCORWF1,-46.163438615359894,Ex-post DWA
2024-09-30,BOCORWF1,-7.6230195475281874,Ex-post DWA
2024-12-31,BOCORWF1,28.013135201184014,Ex-post DWA
2020-03-31,BODWF1,-10.588072444240026,Ex-post DWA
2020-06-30,BODWF1,0.8076684394169646,Ex-post DWA
2020-09-30,BODWF1,0.8098430791883828,Ex-post DWA
2020-12-31,BODWF1,4.003671558153336,Ex-post DWA
2021-03-31,BODWF1,-0.44597769008343846,Ex-post DWA
2021-06-30,BODWF1,2.5045385913228273,Ex-post DWA
2021-09-30,BODWF1,9.07053352846772,Ex-post DWA
2021-12-31,BODWF1,1.0090300778580925,Ex-post DWA
2022-03-31,BODWF1,-0.9198420235733806,Ex-post DWA
2022-06-30,BODWF1,-20.009852155479678,Ex-post DWA
2022-09-30,BODWF1,15.514763383418313,Ex-post DWA
2022-12-31,BODWF1,7.25488336831728,Ex-post DWA
2023-03-31,BODWF1,-2.752199306434605,Ex-post DWA
2023-06-30,BODWF1,0.6571672414452365,Ex-post DWA
2023-09-30,BODWF1,9.19598006961462,Ex-post DWA
2023-12-31,BODWF1,4.933757022526102,Ex-post DWA
2024-03-31,BODWF1,-8.064569617234383,Ex-post DWA
2024-06-30,BODWF1,36.20536508197554,Ex-post DWA
2024-09-30,BODWF1,13.727450517696909,Ex-post DWA
2024-12-31,BODWF1,-19.425160690828903,Ex-post DWA
2020-03-31,CROOKWF2,13.668011322146043,Ex-post DWA
2020-06-30,CROOKWF2,-1.4339300293395638,Ex-post DWA
2020-09-30,CROOKWF2,-1.561107546496686,Ex-post DWA
2020-12-31,CROOKWF2,-2.2486795982343963,Ex-post DWA
2021-03-31,CROOKWF2,0.8367391466299878,Ex-post DWA
2021-06-30,CROOKWF2,-7.723607348119742,Ex-post DWA
2021-09-30,CROOKWF2,-8.304326372144118,Ex-post DWA
2021-12-31,CROOKWF2,-3.5965683122545826,Ex-post DWA
2022-03-31,CROOKWF2,-2.6470980160291617,Ex-post DWA
2022-06-30,CROOKWF2,7.13162875506606,Ex-post DWA
2022-09-30,CROOKWF2,-14.02183302768168,Ex-post DWA
2022-12-31,CROOKWF2,-3.5916589984128677,Ex-post DWA
2023-03-31,CROOKWF2,-0.5775563325752557,Ex-post DWA
2023-06-30,CROOKWF2,-5.556874916670665,Ex-post DWA
2023-09-30,CROOKWF2,-10.09939729620806,Ex-post DWA
2023-12-31,CROOKWF2,-7.67454018874578,Ex-post DWA
2024-03-31,CROOKWF2,2.6211850896066977,Ex-post DWA
2024-06-30,CROOKWF2,-80.4920449008179,Ex-post DWA
2024-09-30,CROOKWF2,-33.893046111311854,Ex-post DWA
2024-12-31,CROOKWF2,-30.619034162894067,Ex-post DWA
2020-03-31,GULLRWF1,6.229322802021073,Ex-post DWA
2020-06-30,GULLRWF1,-1.4564559855900825,Ex-post DWA
2020-09-30,GULLRWF1,0.464168524906988,Ex-post DWA
2020-12-31,GULLRWF1,-4.744330429377094,Ex-post DWA
2021-03-31,GULLRWF1,0.02594625652069027,Ex-post DWA
2021-06-30,GULLRWF1,-6.742031557578031,Ex-post DWA
2021-09-30,GULLRWF1,-7.923172372052775,Ex-post DWA
2021-12-31,GULLRWF1,-4.071825939500727,Ex-post DWA
2022-03-31,GULLRWF1,-3.3301659633895753,Ex-post DWA
2022-06-30,GULLRWF1,10.292194750527926,Ex-post DWA
2022-09-30,GULLRWF1,-6.138856719202295,Ex-post DWA
2022-12-31,GULLRWF1,-5.984535604850976,Ex-post DWA
2023-03-31,GULLRWF1,-2.3602748515402965,Ex-post DWA
2023-06-30,GULLRWF1,-3.3272606743406925,Ex-post DWA
2023-09-30,GULLRWF1,-8.560579852038458,Ex-post DWA
2023-12-31,GULLRWF1,-10.524831373280463,Ex-post DWA
2024-03-31,GULLRWF1,-4.80759567854777,Ex-post DWA
2024-06-30,GULLRWF1,-41.90997246611661,Ex-post DWA
2024-09-30,GULLRWF1,-14.561927647661975,Ex-post DWA
2024-12-31,GULLRWF1,-11.102035360329808,Ex-post DWA
2020-03-31,GUNNING1,-4.92021769789919,Ex-post DWA
2020-06-30,GUNNING1,-1.602648815982434,Ex-post DWA
2020-09-30,GUNNING1,-0.7464666662347597,Ex-post DWA
2020-12-31,GUNNING1,-0.8562471842199244,Ex-post DWA
2021-03-31,GUNNING1,0.05562921487752703,Ex-post DWA
2021-06-30,GUNNING1,-5.6961928111743845,Ex-post DWA
2021-09-30,GUNNING1,-5.400018804188214,Ex-post DWA
2021-12-31,GUNNING1,-2.4837029579354635,Ex-post DWA
2022-03-31,GUNNING1,-1.6380353470527496,Ex-post DWA
2022-06-30,GUNNING1,-0.9866872077710696,Ex-post DWA
2022-09-30,GUNNING1,-8.319084780110188,Ex-post DWA
2022-12-31,GUNNING1,-12.122309929966733,Ex-post DWA
2023-03-31,GUNNING1,-5.104557773241865,Ex-post DWA
2023-06-30,GUNNING1,8.570790226180662,Ex-post DWA
2023-09-30,GUNNING1,-5.492322145637971,Ex-post DWA
2023-12-31,GUNNING1,-4.757952039980879,Ex-post DWA
2024-03-31,GUNNING1,-3.9944002312619062,Ex-post DWA
2024-06-30,GUNNING1,-22.768251885305517,Ex-post DWA
