Period,DUID,Delta,Contract
2020-01-31,CHILDSF1,3.6283171552331197,Ex-post DWA
2020-02-29,CHILDSF1,1.9857938839484675,Ex-post DWA
2020-03-31,CHILDSF1,-1.9093385353404955,Ex-post DWA
2020-04-30,CHILDSF1,-1.4897015410946928,Ex-post DWA
2020-05-31,CHILDSF1,1.3846828429051286,Ex-post DWA
2020-06-30,CHILDSF1,5.2043851318906995,Ex-post DWA
2020-07-31,CHILDSF1,-0.9720251265613378,Ex-post DWA
2020-08-31,CHILDSF1,-2.8415697498461014,Ex-post DWA
2020-09-30,CHILDSF1,-4.789243035967046,Ex-post DWA
2020-10-31,CHILDSF1,-5.296849895439166,Ex-post DWA
2020-11-30,CHILDSF1,3.002972234155912,Ex-post DWA
2020-12-31,CHILDSF1,0.4515670107033998,Ex-post DWA
2021-01-31,CHILDSF1,0.43051734942212505,Ex-post DWA
2021-02-28,CHILDSF1,1.1140174685806485,Ex-post DWA
2021-03-31,CHILDSF1,-1.2380744904010577,Ex-post DWA
2021-04-30,CHILDSF1,-2.5176724408421904,Ex-post DWA
2021-05-31,CHILDSF1,2.691857773007591,Ex-post DWA
2021-06-30,CHILDSF1,6.846766181282973,Ex-post DWA
2021-07-31,CHILDSF1,-6.119693843515208,Ex-post DWA
2021-08-31,CHILDSF1,-4.269431147532352,Ex-post DWA
2021-09-30,CHILDSF1,-6.56237321116177,Ex-post DWA
2021-10-31,CHILDSF1,-4.555318624357312,Ex-post DWA
2021-11-30,CHILDSF1,-13.57350307832499,Ex-post DWA
2021-12-31,CHILDSF1,-3.9185129053277308,Ex-post DWA
2022-01-31,CHILDSF1,-9.038911057030177,Ex-post DWA
2022-02-28,CHILDSF1,-28.076415404842592,Ex-post DWA
2022-03-31,CHILDSF1,-9.62956145231162,Ex-post DWA
2022-04-30,CHILDSF1,-7.930842161954217,Ex-post DWA
2022-05-31,CHILDSF1,-20.39926971921915,Ex-post DWA
2022-06-30,CHILDSF1,3.3048292256839034,Ex-post DWA
2022-07-31,CHILDSF1,-29.811537733982902,Ex-post DWA
2022-08-31,CHILDSF1,-5.035539475817387,Ex-post DWA
2022-09-30,CHILDSF1,-15.685747815840294,Ex-post DWA
2022-10-31,CHILDSF1,-9.878577573006638,Ex-post DWA
2022-11-30,CHILDSF1,-8.488003949151803,Ex-post DWA
2022-12-31,CHILDSF1,-7.508202102805832,Ex-post DWA
2023-01-31,CHILDSF1,-2.593302322298605,Ex-post DWA
2023-02-28,CHILDSF1,-3.846992028039608,Ex-post DWA
2023-03-31,CHILDSF1,-2.9366014790306423,Ex-post DWA
2023-04-30,CHILDSF1,-3.917647192942667,Ex-post DWA
2023-05-31,CHILDSF1,-6.729519808591348,Ex-post DWA
2023-06-30,CHILDSF1,-3.6070031755551,Ex-post DWA
2023-07-31,CHILDSF1,-4.828607757759892,Ex-post DWA
2023-08-31,CHILDSF1,-9.211940914158987,Ex-post DWA
2023-09-30,CHILDSF1,-9.65499674916919,Ex-post DWA
2023-10-31,CHILDSF1,-9.255627149187635,Ex-post DWA
2023-11-30,CHILDSF1,-8.252120864683896,Ex-post DWA
2023-12-31,CHILDSF1,-4.771235654657303,Ex-post DWA
2024-01-31,CHILDSF1,-1.7318489457575907,Ex-post DWA
2024-02-29,CHILDSF1,-0.42216903786059135,Ex-post DWA
2024-03-31,CHILDSF1,-3.014305566115155,Ex-post DWA
2024-04-30,CHILDSF1,-8.660349906402974,Ex-post DWA
2024-05-31,CHILDSF1,-7.371123943795428,Ex-post DWA
2024-06-30,CHILDSF1,-7.0444248747583345,Ex-post DWA
2024-07-31,CHILDSF1,-2.080592655233829,Ex-post DWA
2024-08-31,CHILDSF1,-3.234005019486627,Ex-post DWA
2024-09-30,CHILDSF1,-3.4510442986826373,Ex-post DWA
2024-10-31,CHILDSF1,2.110360453920859,Ex-post DWA
2024-11-30,CHILDSF1,6.643552034902683,Ex-post DWA
2024-12-31,CHILDSF1,-4.708710267467275,Ex-post DWA
2020-01-31,CLARESF1,-3.454910375810556,Ex-post DWA
2020-02-29,CLARESF1,-0.23755734278758922,Ex-post DWA
2020-03-31,CLARESF1,-0.5566048666267491,Ex-post DWA
2020-04-30,CLARESF1,-0.010410720786087069,Ex-post DWA
2020-05-31,CLARESF1,3.110069117879128,Ex-post DWA
2020-06-30,CLARESF1,-1.5323614196016955,Ex-post DWA
2020-07-31,CLARESF1,0.029423886202224026,Ex-post DWA
2020-08-31,CLARESF1,-0.276880731215952,Ex-post DWA
2020-09-30,CLARESF1,1.7583063533161134,Ex-post DWA
2020-10-31,CLARESF1,0.35016384794109,Ex-post DWA
2020-11-30,CLARESF1,-0.7909210307925676,Ex-post DWA
2020-12-31,CLARESF1,3.3692846868589754,Ex-post DWA
2021-01-31,CLARESF1,-2.023551384663463,Ex-post DWA
2021-02-28,CLARESF1,-0.8009652060307602,Ex-post DWA
2021-03-31,CLARESF1,-0.5197023146510134,Ex-post DWA
2021-04-30,CLARESF1,-4.648812746231293,Ex-post DWA
