Period,DUID,Delta,Contract
2020-03-31,CHILDSF1,2.6117317911449263,Ex-post DWA
2020-06-30,CHILDSF1,0.9777792172947493,Ex-post DWA
2020-09-30,CHILDSF1,-2.769696109431102,Ex-post DWA
2020-12-31,CHILDSF1,-0.8497844806032617,Ex-post DWA
2021-03-31,CHILDSF1,0.3085221113124703,Ex-post DWA
2021-06-30,CHILDSF1,0.7244415379216207,Ex-post DWA
2021-09-30,CHILDSF1,-7.054831870287629,Ex-post DWA
2021-12-31,CHILDSF1,-7.847409804480392,Ex-post DWA
2022-03-31,CHILDSF1,-15.264398680947892,Ex-post DWA
2022-06-30,CHILDSF1,-9.530389457240034,Ex-post DWA
2022-09-30,CHILDSF1,-16.47901258833744,Ex-post DWA
2022-12-31,CHILDSF1,-5.813835781312058,Ex-post DWA
2023-03-31,CHILDSF1,-2.573453911804684,Ex-post DWA
2023-06-30,CHILDSF1,-4.8954906795267235,Ex-post DWA
2023-09-30,CHILDSF1,-9.075741719846459,Ex-post DWA
2023-12-31,CHILDSF1,-9.099301215136094,Ex-post DWA
2024-03-31,CHILDSF1,-1.4765569192270647,Ex-post DWA
2024-06-30,CHILDSF1,-7.459785846403516,Ex-post DWA
2024-09-30,CHILDSF1,-3.786969166216686,Ex-post DWA
2024-12-31,CHILDSF1,3.437068816150287,Ex-post DWA
2020-03-31,CLARESF1,-1.6737446626237826,Ex-post DWA
2020-06-30,CLARESF1,0.2702848176811159,Ex-post DWA
2020-09-30,CLARESF1,1.2413474646968954,Ex-post DWA
2020-12-31,CLARESF1,1.7554069574796216,Ex-post DWA
2021-03-31,CLARESF1,-1.157573539266913,Ex-post DWA
2021-06-30,CLARESF1,-4.613604036113486,Ex-post DWA
2021-09-30,CLARESF1,12.987519340590978,Ex-post DWA
2021-12-31,CLARESF1,8.874392076191782,Ex-post DWA
2022-03-31,CLARESF1,19.332459287760614,Ex-post DWA
2022-06-30,CLARESF1,12.07148795193126,Ex-post DWA
2022-09-30,CLARESF1,32.371905253939545,Ex-post DWA
2022-12-31,CLARESF1,20.020493334862643,Ex-post DWA
2023-03-31,CLARESF1,15.460789135696785,Ex-post DWA
2023-06-30,CLARESF1,21.589135839754228,Ex-post DWA
2023-09-30,CLARESF1,39.07320137019348,Ex-post DWA
2023-12-31,CLARESF1,35.695285109309005,Ex-post DWA
2024-03-31,CLARESF1,4.099700905488895,Ex-post DWA
2024-06-30,CLARESF1,2.9228160134060346,Ex-post DWA
2024-09-30,CLARESF1,11.175272370437298,Ex-post DWA
2024-12-31,CLARESF1,8.574673891469764,Ex-post DWA
2020-03-31,CLERMSF1,1.4912545578778023,Ex-post DWA
2020-06-30,CLERMSF1,-0.7689862290396903,Ex-post DWA
2020-09-30,CLERMSF1,2.7323670466613077,Ex-post DWA
2020-12-31,CLERMSF1,0.8990842710071973,Ex-post DWA
2021-03-31,CLERMSF1,0.310805239914103,Ex-post DWA
2021-06-30,CLERMSF1,9.604951953633261,Ex-post DWA
2021-09-30,CLERMSF1,2.619899575485256,Ex-post DWA
2021-12-31,CLERMSF1,4.376711802548215,Ex-post DWA
2022-03-31,CLERMSF1,-5.193633794631623,Ex-post DWA
2022-06-30,CLERMSF1,8.125644269847243,Ex-post DWA
2022-09-30,CLERMSF1,12.281542592431279,Ex-post DWA
2022-12-31,CLERMSF1,0.6090451894477482,Ex-post DWA
2023-03-31,CLERMSF1,0.5790608320634263,Ex-post DWA
2023-06-30,CLERMSF1,1.2523062703781918,Ex-post DWA
2023-09-30,CLERMSF1,-1.1240914724529736,Ex-post DWA
2023-12-31,CLERMSF1,-4.45972666337715,Ex-post DWA
2024-03-31,CLERMSF1,2.6073135266341865,Ex-post DWA
2024-06-30,CLERMSF1,-2.4232623585534903,Ex-post DWA
2024-09-30,CLERMSF1,-5.0193090066191,Ex-post DWA
2024-12-31,CLERMSF1,-6.913889923259816,Ex-post DWA
2020-03-31,CSPVPS1,-0.6761399886342758,Ex-post DWA
2020-06-30,CSPVPS1,-1.8817173360677018,Ex-post DWA
2020-09-30,CSPVPS1,-3.092297091418658,Ex-post DWA
2020-12-31,CSPVPS1,-0.7810101409201877,Ex-post DWA
2021-03-31,CSPVPS1,-0.8601087438161628,Ex-post DWA
2021-06-30,CSPVPS1,-6.878266610670984,Ex-post DWA
2021-09-30,CSPVPS1,-6.252273412066042,Ex-post DWA
2021-12-31,CSPVPS1,-11.227056530793021,Ex-post DWA
2022-03-31,CSPVPS1,-5.46042448803793,Ex-post DWA
2022-06-30,CSPVPS1,-8.992629392737314,Ex-post DWA
2022-09-30,CSPVPS1,-13.438941098536816,Ex-post DWA
2022-12-31,CSPVPS1,-4.462383880398484,Ex-post DWA
2023-03-31,CSPVPS1,-1.2760608029579146,Ex-post DWA
2023-06-30,CSPVPS1,-6.932037581341341,Ex-post DWA
2023-09-30,CSPVPS1,-9.783967809789042,Ex-post DWA
2023-12-31,CSPVPS1,-10.68744675812438,Ex-post DWA
2024-03-31,CSPVPS1,-1.3414478374003735,Ex-post DWA
2024-06-30,CSPVPS1,-6.9230761730333334,Ex-post DWA
2024-09-30,CSPVPS1,-10.423304643328645,Ex-post DWA
2024-12-31,CSPVPS1,-13.673195497530521,Ex-post DWA
2020-03-31,DAYDSF1,-0.5822509409281906,Ex-post DWA
2020-06-30,DAYDSF1,0.2814006920952501,Ex-post DWA
2020-09-30,DAYDSF1,0.6522122638544001,Ex-post DWA
2020-12-31,DAYDSF1,-1.7396053761528876,Ex-post DWA
2021-03-31,DAYDSF1,-0.3203508788212517,Ex-post DWA
2021-06-30,DAYDSF1,-4.1024011103352365,Ex-post DWA
2021-09-30,DAYDSF1,-1.276268205524424,Ex-post DWA
2021-12-31,DAYDSF1,-2.4096373549106147,Ex-post DWA
2022-03-31,DAYDSF1,-1.9516545024758045,Ex-post DWA
2022-06-30,DAYDSF1,2.0705786333158755,Ex-post DWA
2022-09-30,DAYDSF1,-1.7940238325476514,Ex-post DWA
2022-12-31,DAYDSF1,-0.1058726625541766,Ex-post DWA
2023-03-31,DAYDSF1,-0.1459115239357871,Ex-post DWA
2023-06-30,DAYDSF1,1.4805925636314825,Ex-post DWA
2023-09-30,DAYDSF1,-4.761779041616394,Ex-post DWA
2023-12-31,DAYDSF1,-6.009329821279309,Ex-post DWA
2024-03-31,DAYDSF1,2.8678190097972234,Ex-post DWA
2024-06-30,DAYDSF1,-1.7427576794875073,Ex-post DWA
2024-09-30,DAYDSF1,-1.3519214786574523,Ex-post DWA
2024-12-31,DAYDSF1,-0.46834291503382985,Ex-post DWA
2020-03-31,DDSF1,-0.09141867315271668,Ex-post DWA
2020-06-30,DDSF1,-2.8266267835207017,Ex-post DWA
2020-09-30,DDSF1,-4.318898474682905,Ex-post DWA
2020-12-31,DDSF1,-3.968261864605239,Ex-post DWA
2021-03-31,DDSF1,-0.2574841341303298,Ex-post DWA
2021-06-30,DDSF1,-6.889107713229826,Ex-post DWA
2021-09-30,DDSF1,-13.931791496995285,Ex-post DWA
2021-12-31,DDSF1,-18.26117387207443,Ex-post DWA
2022-03-31,DDSF1,-14.132874570849424,Ex-post DWA
2022-06-30,DDSF1,-21.37504599245176,Ex-post DWA
2022-09-30,DDSF1,-23.288440315066012,Ex-post DWA
2022-12-31,DDSF1,-12.520828642963991,Ex-post DWA
2023-03-31,DDSF1,-10.39382806525618,Ex-post DWA
2023-06-30,DDSF1,-12.769493080950447,Ex-post DWA
2023-09-30,DDSF1,-13.687790067174959,Ex-post DWA
2023-12-31,DDSF1,-17.30709224545625,Ex-post DWA
