Period,DUID,Delta,Contract
2020-03-31,COOPGWF1,-0.5893627312617937,Ex-post DWA
2020-06-30,COOPGWF1,-0.5606501922517708,Ex-post DWA
2020-09-30,COOPGWF1,0.05629727019035613,Ex-post DWA
2020-12-31,COOPGWF1,-0.4088431316729313,Ex-post DWA
2021-03-31,COOPGWF1,0.11813600651009182,Ex-post DWA
2021-06-30,COOPGWF1,0.2514805224859913,Ex-post DWA
2021-09-30,COOPGWF1,3.280826766115908,Ex-post DWA
2021-12-31,COOPGWF1,-6.2473828531757505,Ex-post DWA
2022-03-31,COOPGWF1,1.4735342279225563,Ex-post DWA
2022-06-30,COOPGWF1,9.296768509762273,Ex-post DWA
2022-09-30,COOPGWF1,3.3952115192264216,Ex-post DWA
2022-12-31,COOPGWF1,-0.541187717439044,Ex-post DWA
2023-03-31,COOPGWF1,-0.05854839227514219,Ex-post DWA
2023-06-30,COOPGWF1,-6.527955303686426,Ex-post DWA
2023-09-30,COOPGWF1,1.3718379957525713,Ex-post DWA
2023-12-31,COOPGWF1,1.7670190528728824,Ex-post DWA
2024-03-31,COOPGWF1,-3.1649542271022852,Ex-post DWA
2024-06-30,COOPGWF1,0.608403033173488,Ex-post DWA
2024-09-30,COOPGWF1,3.6970944704111304,Ex-post DWA
2024-12-31,COOPGWF1,5.687051251550145,Ex-post DWA
2020-03-31,MEWF1,0.9918208537312339,Ex-post DWA
2020-06-30,MEWF1,0.901687665975615,Ex-post DWA
2020-09-30,MEWF1,-0.2814514850067269,Ex-post DWA
2020-12-31,MEWF1,1.8276022234592872,Ex-post DWA
2021-03-31,MEWF1,-0.4463328610333619,Ex-post DWA
2021-06-30,MEWF1,-0.6186917610711191,Ex-post DWA
2021-09-30,MEWF1,-6.923139151585232,Ex-post DWA
2021-12-31,MEWF1,23.29197024492089,Ex-post DWA
2022-03-31,MEWF1,-8.185476110406483,Ex-post DWA
2022-06-30,MEWF1,-26.830253423451836,Ex-post DWA
2022-09-30,MEWF1,-9.962116212609715,Ex-post DWA
2022-12-31,MEWF1,6.42381763713685,Ex-post DWA
2023-03-31,MEWF1,-0.3231529468414891,Ex-post DWA
2023-06-30,MEWF1,7.004908866129455,Ex-post DWA
2023-09-30,MEWF1,-4.620361454562904,Ex-post DWA
2023-12-31,MEWF1,-3.1943287984703232,Ex-post DWA
2024-03-31,MEWF1,5.077911790167903,Ex-post DWA
2024-06-30,MEWF1,-4.329128428167451,Ex-post DWA
2024-09-30,MEWF1,0.36565882803226657,Ex-post DWA
2024-12-31,MEWF1,-9.778565117072134,Ex-post DWA
2020-03-31,COOPGWF1,-4.496389009548636,ToD blocks
2020-06-30,COOPGWF1,-2.0819297573312383,ToD blocks
2020-09-30,COOPGWF1,-1.7947765379591871,ToD blocks
2020-12-31,COOPGWF1,-2.3164871500658393,ToD blocks
2021-03-31,COOPGWF1,-3.097325850115176,ToD blocks
2021-06-30,COOPGWF1,-38.382569408895364,ToD blocks
2021-09-30,COOPGWF1,2.090110319793851,ToD blocks
2021-12-31,COOPGWF1,-20.100726123334,ToD blocks
