Period,DUID,Delta,Contract
2020-03-31,BNGSF1,-3.308237663765169,Ex-post DWA
2020-06-30,BNGSF1,0.11380545536400888,Ex-post DWA
2020-09-30,BNGSF1,-3.654885666622384,Ex-post DWA
2020-12-31,BNGSF1,-3.8544704399090044,Ex-post DWA
2021-03-31,BNGSF1,-3.2263620253742626,Ex-post DWA
2021-06-30,BNGSF1,-1.1100921422438077,Ex-post DWA
2021-09-30,BNGSF1,-4.900482632799655,Ex-post DWA
2021-12-31,BNGSF1,-3.2825173366306597,Ex-post DWA
2022-03-31,BNGSF1,-4.851033106308954,Ex-post DWA
2022-06-30,BNGSF1,-1.9238169489905488,Ex-post DWA
2022-09-30,BNGSF1,2.16623616601035,Ex-post DWA
2022-12-31,BNGSF1,-5.7277496270388575,Ex-post DWA
2023-03-31,BNGSF1,0.15648986612504956,Ex-post DWA
2023-06-30,BNGSF1,1.3595639437733382,Ex-post DWA
2023-09-30,BNGSF1,4.258816537601813,Ex-post DWA
2023-12-31,BNGSF1,0.505613602709448,Ex-post DWA
2024-03-31,BNGSF1,2.947845188869227,Ex-post DWA
2024-06-30,BNGSF1,1.804391158015349,Ex-post DWA
2024-09-30,BNGSF1,7.793590539196565,Ex-post DWA
2024-12-31,BNGSF1,3.8242280769158654,Ex-post DWA
2020-03-31,BNGSF2,-1.955822367541181,Ex-post DWA
2020-06-30,BNGSF2,-1.2566360482476533,Ex-post DWA
2020-09-30,BNGSF2,-5.992511949418969,Ex-post DWA
2020-12-31,BNGSF2,-3.6761956321875733,Ex-post DWA
2021-03-31,BNGSF2,-2.9060503369624513,Ex-post DWA
2021-06-30,BNGSF2,-1.8943141944239272,Ex-post DWA
2021-09-30,BNGSF2,-7.658067976988912,Ex-post DWA
2021-12-31,BNGSF2,-3.73257418923105,Ex-post DWA
2022-03-31,BNGSF2,-4.971446696397692,Ex-post DWA
2022-06-30,BNGSF2,-4.3429839740817044,Ex-post DWA
2022-09-30,BNGSF2,-7.4293900595104105,Ex-post DWA
2022-12-31,BNGSF2,-6.28343423755553,Ex-post DWA
2023-03-31,BNGSF2,-3.45703343553226,Ex-post DWA
2023-06-30,BNGSF2,1.8887930144436922,Ex-post DWA
2023-09-30,BNGSF2,1.6396308904239376,Ex-post DWA
2023-12-31,BNGSF2,-3.134776437380347,Ex-post DWA
2024-03-31,BNGSF2,-3.243655587399939,Ex-post DWA
2024-06-30,BNGSF2,-0.4866781719267834,Ex-post DWA
2024-09-30,BNGSF2,8.621658239470875,Ex-post DWA
2024-12-31,BNGSF2,-3.5273646176618776,Ex-post DWA
2020-03-31,TBSF1,6.088059507432199,Ex-post DWA
2020-06-30,TBSF1,0.1523873391646582,Ex-post DWA
2020-09-30,TBSF1,15.566971262561324,Ex-post DWA
2020-12-31,TBSF1,15.417862160440954,Ex-post DWA
2021-03-31,TBSF1,11.007017909895461,Ex-post DWA
2021-06-30,TBSF1,3.7136770692109238,Ex-post DWA
2021-09-30,TBSF1,21.815014256657335,Ex-post DWA
2021-12-31,TBSF1,11.303286706253274,Ex-post DWA
2022-03-31,TBSF1,12.433448381091559,Ex-post DWA
2022-06-30,TBSF1,0.8360590127773264,Ex-post DWA
2022-09-30,TBSF1,-5.111487163601282,Ex-post DWA
2022-12-31,TBSF1,13.820171662471445,Ex-post DWA
2023-03-31,TBSF1,-0.21333322957822176,Ex-post DWA
2023-06-30,TBSF1,-5.63225820142312,Ex-post DWA
2023-09-30,TBSF1,-4.251516941975346,Ex-post DWA
2023-12-31,TBSF1,6.547954080003225,Ex-post DWA
2024-03-31,TBSF1,3.208201371856781,Ex-post DWA
