Period,DUID,Delta,Contract
2020-01-31,BLUFF1,-8.005704212065623,Ex-post DWA
2020-02-29,BLUFF1,-1.7026027798545513,Ex-post DWA
2020-03-31,BLUFF1,-3.872112899902657,Ex-post DWA
2020-04-30,BLUFF1,-1.881303563031178,Ex-post DWA
2020-05-31,BLUFF1,-2.2622207986834084,Ex-post DWA
2020-06-30,BLUFF1,-0.8493149427532956,Ex-post DWA
2020-07-31,BLUFF1,-4.194757702714256,Ex-post DWA
2020-08-31,BLUFF1,-3.096207352321798,Ex-post DWA
2020-09-30,BLUFF1,-7.83791218130744,Ex-post DWA
2020-10-31,BLUFF1,-9.42918103825148,Ex-post DWA
2020-11-30,BLUFF1,-4.139780023104194,Ex-post DWA
2020-12-31,BLUFF1,-10.673672683969924,Ex-post DWA
2021-01-31,BLUFF1,-3.7966922110778434,Ex-post DWA
2021-02-28,BLUFF1,-6.9154157341236555,Ex-post DWA
2021-03-31,BLUFF1,-19.967258388044833,Ex-post DWA
2021-04-30,BLUFF1,-6.060130843731624,Ex-post DWA
2021-05-31,BLUFF1,-4.715993861962019,Ex-post DWA
2021-06-30,BLUFF1,0.2839692316158704,Ex-post DWA
2021-07-31,BLUFF1,-4.953223387039003,Ex-post DWA
2021-08-31,BLUFF1,-3.2452694281823575,Ex-post DWA
2021-09-30,BLUFF1,-1.8018353266513571,Ex-post DWA
2021-10-31,BLUFF1,4.634073538620461,Ex-post DWA
2021-11-30,BLUFF1,-6.668147756201504,Ex-post DWA
2021-12-31,BLUFF1,-4.500230078845753,Ex-post DWA
2022-01-31,BLUFF1,-5.8631437643198865,Ex-post DWA
2022-02-28,BLUFF1,-5.533487319599473,Ex-post DWA
2022-03-31,BLUFF1,-8.666098504103282,Ex-post DWA
2022-04-30,BLUFF1,-15.530353154091912,Ex-post DWA
2022-05-31,BLUFF1,-22.567496412554988,Ex-post DWA
2022-06-30,BLUFF1,-13.442078613131144,Ex-post DWA
2022-07-31,BLUFF1,-22.083121776442738,Ex-post DWA
2022-08-31,BLUFF1,-9.405038153825615,Ex-post DWA
2022-09-30,BLUFF1,-16.578129658097126,Ex-post DWA
2022-10-31,BLUFF1,-13.863006369857985,Ex-post DWA
2022-11-30,BLUFF1,-32.30586461509497,Ex-post DWA
2022-12-31,BLUFF1,-7.178648287053182,Ex-post DWA
2023-01-31,BLUFF1,-10.793740236288777,Ex-post DWA
2023-02-28,BLUFF1,-5.454138446754392,Ex-post DWA
2023-03-31,BLUFF1,-10.320008480598197,Ex-post DWA
2023-04-30,BLUFF1,-6.066046420414679,Ex-post DWA
2023-05-31,BLUFF1,-18.833281986328487,Ex-post DWA
2023-06-30,BLUFF1,-9.34027891989291,Ex-post DWA
2023-07-31,BLUFF1,-12.344307181581872,Ex-post DWA
2023-08-31,BLUFF1,-3.9543953976773167,Ex-post DWA
2023-09-30,BLUFF1,-5.51470011806105,Ex-post DWA
2023-10-31,BLUFF1,0.006932682605059526,Ex-post DWA
2023-11-30,BLUFF1,-11.689801365716363,Ex-post DWA
2023-12-31,BLUFF1,-2.9648770279162306,Ex-post DWA
2024-01-31,BLUFF1,-2.8319965908258915,Ex-post DWA
2024-02-29,BLUFF1,13.975680817143761,Ex-post DWA
