Period,DUID,Delta,Contract
2020-03-31,BLUFF1,-4.659084777709701,Ex-post DWA
2020-06-30,BLUFF1,-1.5991184775933185,Ex-post DWA
2020-09-30,BLUFF1,-6.200518305269064,Ex-post DWA
2020-12-31,BLUFF1,-7.749084461068382,Ex-post DWA
2021-03-31,BLUFF1,-10.212794258440175,Ex-post DWA
2021-06-30,BLUFF1,-0.6367393121289666,Ex-post DWA
2021-09-30,BLUFF1,-1.6129518255369675,Ex-post DWA
2021-12-31,BLUFF1,-3.4544568263925868,Ex-post DWA
2022-03-31,BLUFF1,-6.728680171771039,Ex-post DWA
2022-06-30,BLUFF1,-13.266988498670514,Ex-post DWA
2022-09-30,BLUFF1,-15.2877599923371,Ex-post DWA
2022-12-31,BLUFF1,-15.926651552539088,Ex-post DWA
2023-03-31,BLUFF1,-9.543133077475332,Ex-post DWA
2023-06-30,BLUFF1,-12.454939365285561,Ex-post DWA
2023-09-30,BLUFF1,-8.389130830302548,Ex-post DWA
2023-12-31,BLUFF1,-7.231429851797426,Ex-post DWA
2024-03-31,BLUFF1,2.468237995971684,Ex-post DWA
2024-06-30,BLUFF1,-16.218812711002073,Ex-post DWA
2024-09-30,BLUFF1,1.3015720538009106,Ex-post DWA
2024-12-31,BLUFF1,-7.833378301860549,Ex-post DWA
2020-03-31,CLEMGPWF,-3.032810622792617,Ex-post DWA
2020-06-30,CLEMGPWF,-1.4512623745451414,Ex-post DWA
2020-09-30,CLEMGPWF,-4.909240907928989,Ex-post DWA
2020-12-31,CLEMGPWF,-1.9522132775292427,Ex-post DWA
2021-03-31,CLEMGPWF,6.966903884849678,Ex-post DWA
2021-06-30,CLEMGPWF,0.6627093546187979,Ex-post DWA
2021-09-30,CLEMGPWF,-2.4269228222370884,Ex-post DWA
2021-12-31,CLEMGPWF,0.7247921934582848,Ex-post DWA
2022-03-31,CLEMGPWF,4.487037647775793,Ex-post DWA
2022-06-30,CLEMGPWF,-12.89687150315305,Ex-post DWA
2022-09-30,CLEMGPWF,4.415745551838199,Ex-post DWA
2022-12-31,CLEMGPWF,-2.0170298053832525,Ex-post DWA
2023-03-31,CLEMGPWF,-5.3620865757533664,Ex-post DWA
2023-06-30,CLEMGPWF,-15.584241879929884,Ex-post DWA
2023-09-30,CLEMGPWF,-11.50787704525893,Ex-post DWA
2023-12-31,CLEMGPWF,-4.6694178184300235,Ex-post DWA
2024-03-31,CLEMGPWF,-2.40777831665617,Ex-post DWA
2024-06-30,CLEMGPWF,4.6321717832080225,Ex-post DWA
2024-09-30,CLEMGPWF,-14.479269620397254,Ex-post DWA
2024-12-31,CLEMGPWF,-6.085447493362224,Ex-post DWA
2020-03-31,HALLWF1,2.9738808506083387,Ex-post DWA
2020-06-30,HALLWF1,0.8910795531541744,Ex-post DWA
2020-09-30,HALLWF1,0.03399848280053064,Ex-post DWA
2020-12-31,HALLWF1,-1.6196206476707538,Ex-post DWA
2021-03-31,HALLWF1,-4.642954650053387,Ex-post DWA
2021-06-30,HALLWF1,1.8644071193131637,Ex-post DWA
2021-09-30,HALLWF1,3.9906967605556716,Ex-post DWA
2021-12-31,HALLWF1,-0.39165251385283284,Ex-post DWA
2022-03-31,HALLWF1,-1.5767909599697134,Ex-post DWA
2022-06-30,HALLWF1,1.146579721477707,Ex-post DWA
2022-09-30,HALLWF1,12.944412202275771,Ex-post DWA
2022-12-31,HALLWF1,-3.919330197500223,Ex-post DWA
2023-03-31,HALLWF1,-4.333157707722108,Ex-post DWA
2023-06-30,HALLWF1,3.971449502176995,Ex-post DWA
2023-09-30,HALLWF1,4.870047653574147,Ex-post DWA
2023-12-31,HALLWF1,-4.838691431166186,Ex-post DWA
2024-03-31,HALLWF1,0.46460819867584746,Ex-post DWA
2024-06-30,HALLWF1,-3.950206864929669,Ex-post DWA
2024-09-30,HALLWF1,13.824619590703662,Ex-post DWA
2024-12-31,HALLWF1,-1.515068081086845,Ex-post DWA
2020-03-31,HALLWF2,0.17617079992098894,Ex-post DWA
2020-06-30,HALLWF2,1.7225549581135162,Ex-post DWA
2020-09-30,HALLWF2,0.06712856889224028,Ex-post DWA
2020-12-31,HALLWF2,-1.8137669087285815,Ex-post DWA
2021-03-31,HALLWF2,-4.09268679415273,Ex-post DWA
2021-06-30,HALLWF2,2.222215817642173,Ex-post DWA
2021-09-30,HALLWF2,1.986329563079238,Ex-post DWA
2021-12-31,HALLWF2,-0.4874506900412925,Ex-post DWA
2022-03-31,HALLWF2,-1.700570273865445,Ex-post DWA
2022-06-30,HALLWF2,6.219394191189906,Ex-post DWA
2022-09-30,HALLWF2,10.919393956358135,Ex-post DWA
2022-12-31,HALLWF2,-1.9647074025707951,Ex-post DWA
2023-03-31,HALLWF2,-1.9740877493114795,Ex-post DWA
2023-06-30,HALLWF2,5.944798922849159,Ex-post DWA
2023-09-30,HALLWF2,6.3658884878093716,Ex-post DWA
2023-12-31,HALLWF2,-0.8659915340333342,Ex-post DWA
2024-03-31,HALLWF2,1.6689855597719614,Ex-post DWA
2024-06-30,HALLWF2,-4.845156469896281,Ex-post DWA
2024-09-30,HALLWF2,9.065077812022182,Ex-post DWA
2024-12-31,HALLWF2,0.05316516796477799,Ex-post DWA
2020-03-31,HDWF1,-0.46770223888125173,Ex-post DWA
2020-06-30,HDWF1,0.4950573716431279,Ex-post DWA
2020-09-30,HDWF1,-3.7038298684790583,Ex-post DWA
2020-12-31,HDWF1,-5.048646437043422,Ex-post DWA
2021-03-31,HDWF1,-6.018066098559586,Ex-post DWA
2021-06-30,HDWF1,-3.562729489523484,Ex-post DWA
2021-09-30,HDWF1,-5.893501810727425,Ex-post DWA
2021-12-31,HDWF1,-8.858023829841429,Ex-post DWA
2022-03-31,HDWF1,-3.4227617715279663,Ex-post DWA
2022-06-30,HDWF1,1.266703056526893,Ex-post DWA
2022-09-30,HDWF1,-7.2531765041813685,Ex-post DWA
2022-12-31,HDWF1,-16.38566814611671,Ex-post DWA
2023-03-31,HDWF1,-4.037286777140899,Ex-post DWA
2023-06-30,HDWF1,-6.370783072766713,Ex-post DWA
2023-09-30,HDWF1,-8.009341668477866,Ex-post DWA
2023-12-31,HDWF1,-9.47295901366493,Ex-post DWA
2024-03-31,HDWF1,-7.27986736307173,Ex-post DWA
2024-06-30,HDWF1,1.1132318442113416,Ex-post DWA
2024-09-30,HDWF1,-2.7205086248681027,Ex-post DWA
2024-12-31,HDWF1,-19.987862804018008,Ex-post DWA
2020-03-31,HDWF2,-1.7492643184081231,Ex-post DWA
2020-06-30,HDWF2,-0.40898343431677375,Ex-post DWA
2020-09-30,HDWF2,-5.967508708409802,Ex-post DWA
2020-12-31,HDWF2,-6.517933489533025,Ex-post DWA
2021-03-31,HDWF2,-6.9924141553737655,Ex-post DWA
2021-06-30,HDWF2,-1.4741757472327848,Ex-post DWA
2021-09-30,HDWF2,-7.5605352290804255,Ex-post DWA
2021-12-31,HDWF2,-11.779976297069743,Ex-post DWA
2022-03-31,HDWF2,-3.744134312567489,Ex-post DWA
2022-06-30,HDWF2,-9.54615356526017,Ex-post DWA
2022-09-30,HDWF2,-12.443859005226557,Ex-post DWA
2022-12-31,HDWF2,-18.686925639381403,Ex-post DWA
2023-03-31,HDWF2,-5.48116286098621,Ex-post DWA
2023-06-30,HDWF2,-9.395952146489812,Ex-post DWA
2023-09-30,HDWF2,-12.001885587467516,Ex-post DWA
2023-12-31,HDWF2,-10.210848538581825,Ex-post DWA
2024-03-31,HDWF2,-8.604303922865597,Ex-post DWA
2024-06-30,HDWF2,-0.31750796160611117,Ex-post DWA
2024-09-30,HDWF2,-4.75228675388945,Ex-post DWA
2024-12-31,HDWF2,-21.181373254657615,Ex-post DWA
2020-03-31,HDWF3,-0.9000889864142252,Ex-post DWA
2020-06-30,HDWF3,-0.195455947730661,Ex-post DWA
2020-09-30,HDWF3,-5.485910078865896,Ex-post DWA
2020-12-31,HDWF3,-6.829859345846803,Ex-post DWA
2021-03-31,HDWF3,-7.712217924526167,Ex-post DWA
2021-06-30,HDWF3,-0.9973934949266976,Ex-post DWA
2021-09-30,HDWF3,-7.603862161453652,Ex-post DWA
2021-12-31,HDWF3,-11.581871052347854,Ex-post DWA
2022-03-31,HDWF3,-4.305522279023954,Ex-post DWA
2022-06-30,HDWF3,-7.810624203417603,Ex-post DWA
2022-09-30,HDWF3,-10.52163989125097,Ex-post DWA
2022-12-31,HDWF3,-19.045687676613227,Ex-post DWA
2023-03-31,HDWF3,-6.290394018606797,Ex-post DWA
2023-06-30,HDWF3,-9.06315146396286,Ex-post DWA
2023-09-30,HDWF3,-11.45847562732736,Ex-post DWA
2023-12-31,HDWF3,-11.220500153826709,Ex-post DWA
2024-03-31,HDWF3,-8.883879140586906,Ex-post DWA
2024-06-30,HDWF3,-1.2554700321199022,Ex-post DWA
2024-09-30,HDWF3,-7.056956219926278,Ex-post DWA
2024-12-31,HDWF3,-22.805334537920412,Ex-post DWA
2020-03-31,LGAPWF1,11.14931595737594,Ex-post DWA
2020-06-30,LGAPWF1,1.9902681763325596,Ex-post DWA
2020-09-30,LGAPWF1,7.127250649955698,Ex-post DWA
2020-12-31,LGAPWF1,10.2973036739143,Ex-post DWA
2021-03-31,LGAPWF1,8.113739472145713,Ex-post DWA
2021-06-30,LGAPWF1,1.195445403213398,Ex-post DWA
2021-09-30,LGAPWF1,14.245224761945671,Ex-post DWA
2021-12-31,LGAPWF1,16.267711892590988,Ex-post DWA
2022-03-31,LGAPWF1,5.952134369999314,Ex-post DWA
2022-06-30,LGAPWF1,9.418328409200683,Ex-post DWA
2022-09-30,LGAPWF1,27.313756902722446,Ex-post DWA
2022-12-31,LGAPWF1,14.578198587418157,Ex-post DWA
2023-03-31,LGAPWF1,6.9639636405650975,Ex-post DWA
2023-06-30,LGAPWF1,8.480920933274533,Ex-post DWA
