Quarter,Total demand
2020-03-31,4684.512397359585
2020-06-30,4930.267749923687
2020-09-30,5066.077443010266
2020-12-31,4379.726530419686
2021-03-31,4577.376629243828
2021-06-30,5014.753242902931
2021-09-30,5052.702529815821
2021-12-31,4289.323620923913
2022-03-31,4696.47199382716
2022-06-30,5082.460138888889
2022-09-30,5245.171117149758
2022-12-31,4341.229366319445
2023-03-31,4525.335652777778
2023-06-30,4965.17337263431
2023-09-30,4939.395260416666
2023-12-31,4145.286664402173
2024-03-31,4411.304606990232
2024-06-30,5163.3804884004885
2024-09-30,5197.540504604469
2024-12-31,4160.9703275966185
