Period,DUID,Delta,Contract
2020-01-31,BANN1,-42.97472682993033,Ex-post DWA
2020-02-29,BANN1,-0.8271110059943609,Ex-post DWA
2020-03-31,BANN1,-3.303115132673355,Ex-post DWA
2020-04-30,BANN1,-1.3387018515785023,Ex-post DWA
2020-05-31,BANN1,-0.5908635727406306,Ex-post DWA
2020-06-30,BANN1,-0.8936087298130246,Ex-post DWA
2020-07-31,BANN1,-1.1296394984175038,Ex-post DWA
2020-08-31,BANN1,-3.114068293680589,Ex-post DWA
2020-09-30,BANN1,-0.6394406756624171,Ex-post DWA
2020-10-31,BANN1,-3.155542710538157,Ex-post DWA
2020-11-30,BANN1,-1.338600078774384,Ex-post DWA
2020-12-31,BANN1,-2.6415105424267935,Ex-post DWA
2021-01-31,BANN1,-3.2149033543011125,Ex-post DWA
2021-02-28,BANN1,-1.805197107356948,Ex-post DWA
2021-03-31,BANN1,-0.8090985671039874,Ex-post DWA
2021-04-30,BANN1,-2.2544856948589143,Ex-post DWA
2021-05-31,BANN1,-1.3976924349047195,Ex-post DWA
2021-06-30,BANN1,-1.1458171911464916,Ex-post DWA
2021-07-31,BANN1,-17.16612851263467,Ex-post DWA
2021-08-31,BANN1,-6.281779923727877,Ex-post DWA
2021-09-30,BANN1,-3.963114074312346,Ex-post DWA
2021-10-31,BANN1,-6.724949526585817,Ex-post DWA
2021-11-30,BANN1,-7.006118652492626,Ex-post DWA
2021-12-31,BANN1,-11.557075034599047,Ex-post DWA
2022-01-31,BANN1,-10.85008926339679,Ex-post DWA
2022-02-28,BANN1,0.17472937421138113,Ex-post DWA
2022-03-31,BANN1,-7.0290215374901095,Ex-post DWA
2022-04-30,BANN1,-4.893567577259844,Ex-post DWA
2022-05-31,BANN1,-4.675236838272355,Ex-post DWA
2022-06-30,BANN1,-8.571859817432227,Ex-post DWA
2022-07-31,BANN1,-17.9275478318998,Ex-post DWA
2022-08-31,BANN1,-9.439220978258263,Ex-post DWA
2022-09-30,BANN1,-4.6253847468863825,Ex-post DWA
2022-10-31,BANN1,-5.700735073529625,Ex-post DWA
2022-11-30,BANN1,-9.451633493020982,Ex-post DWA
2022-12-31,BANN1,-10.4947475345129,Ex-post DWA
2023-01-31,BANN1,-8.970244509323827,Ex-post DWA
2023-02-28,BANN1,-1.953272050072382,Ex-post DWA
2023-03-31,BANN1,-0.8623237814732185,Ex-post DWA
2023-04-30,BANN1,-2.517244684286254,Ex-post DWA
2023-05-31,BANN1,-4.727886570790503,Ex-post DWA
2023-06-30,BANN1,-6.530011973217984,Ex-post DWA
2023-07-31,BANN1,-7.171124874258052,Ex-post DWA
2023-08-31,BANN1,-4.909559256885341,Ex-post DWA
2023-09-30,BANN1,-14.766157228443884,Ex-post DWA
2023-10-31,BANN1,-10.587205667227835,Ex-post DWA
2023-11-30,BANN1,-11.223331158099107,Ex-post DWA
2023-12-31,BANN1,-16.82420859257297,Ex-post DWA
2024-01-31,BANN1,-12.077459406960813,Ex-post DWA
2024-02-29,BANN1,-0.22110825088172703,Ex-post DWA
2024-03-31,BANN1,0.6660436811491373,Ex-post DWA
2024-04-30,BANN1,-1.7371149722401,Ex-post DWA
2024-05-31,BANN1,1.8318986124988754,Ex-post DWA
2024-06-30,BANN1,1.1293070748410514,Ex-post DWA
2024-07-31,BANN1,-23.196570113254523,Ex-post DWA
2024-08-31,BANN1,-5.8215614400118625,Ex-post DWA
2024-09-30,BANN1,-4.652645342212761,Ex-post DWA
2024-10-31,BANN1,-9.276504719754488,Ex-post DWA
2024-11-30,BANN1,-10.126088381086207,Ex-post DWA
2024-12-31,BANN1,-16.293056890202745,Ex-post DWA
2020-01-31,GANNSF1,7.600008918652264,Ex-post DWA
2020-02-29,GANNSF1,-0.664148607017836,Ex-post DWA
2020-03-31,GANNSF1,-0.11797884482289334,Ex-post DWA
2020-04-30,GANNSF1,-0.6931071561719939,Ex-post DWA
2020-05-31,GANNSF1,-0.7986841536280949,Ex-post DWA
2020-06-30,GANNSF1,0.32084171036824216,Ex-post DWA
2020-07-31,GANNSF1,1.9976307121067123,Ex-post DWA
2020-08-31,GANNSF1,-3.5901114195622483,Ex-post DWA
2020-09-30,GANNSF1,0.6110641297046158,Ex-post DWA
2020-10-31,GANNSF1,-2.3687252684308646,Ex-post DWA
2020-11-30,GANNSF1,-0.4935221067096478,Ex-post DWA
2020-12-31,GANNSF1,-0.8759904332786661,Ex-post DWA
2021-01-31,GANNSF1,-1.2967690811007468,Ex-post DWA
2021-02-28,GANNSF1,-0.8591933526503368,Ex-post DWA
2021-03-31,GANNSF1,-0.5465357321913231,Ex-post DWA
2021-04-30,GANNSF1,0.04072829676890066,Ex-post DWA
2021-05-31,GANNSF1,-0.6702512985468587,Ex-post DWA
2021-06-30,GANNSF1,2.1422520521235384,Ex-post DWA
2021-07-31,GANNSF1,-24.540729718462003,Ex-post DWA
2021-08-31,GANNSF1,-9.11587603443429,Ex-post DWA
2021-09-30,GANNSF1,-5.39818727262432,Ex-post DWA
2021-10-31,GANNSF1,-5.203192411030205,Ex-post DWA
2021-11-30,GANNSF1,-3.8785817999273675,Ex-post DWA
2021-12-31,GANNSF1,-6.304363745468118,Ex-post DWA
