Period,DUID,Delta,Contract
2020-01-31,ARWF1,8.3015827268881,Ex-post DWA
2020-02-29,ARWF1,1.9940244465196741,Ex-post DWA
2020-03-31,ARWF1,0.1322438021818897,Ex-post DWA
2020-04-30,ARWF1,-0.2267679798840696,Ex-post DWA
2020-05-31,ARWF1,-0.06981841924609,Ex-post DWA
2020-06-30,ARWF1,0.15280672526819927,Ex-post DWA
2020-07-31,ARWF1,1.0319647326943908,Ex-post DWA
2020-08-31,ARWF1,-2.445077626170793,Ex-post DWA
2020-09-30,ARWF1,-2.0423988051318354,Ex-post DWA
2020-10-31,ARWF1,-2.641346209410397,Ex-post DWA
2020-11-30,ARWF1,-0.05555519900924821,Ex-post DWA
2020-12-31,ARWF1,0.7080427595368342,Ex-post DWA
2021-01-31,ARWF1,-0.7594039036669784,Ex-post DWA
2021-02-28,ARWF1,-1.252156922028906,Ex-post DWA
2021-03-31,ARWF1,-1.2113813248805414,Ex-post DWA
2021-04-30,ARWF1,-7.041882704928277,Ex-post DWA
2021-05-31,ARWF1,0.16934640789523314,Ex-post DWA
2021-06-30,ARWF1,0.3271136572481481,Ex-post DWA
2021-07-31,ARWF1,-4.15034953471622,Ex-post DWA
2021-08-31,ARWF1,-5.235494811130668,Ex-post DWA
2021-09-30,ARWF1,-3.483279533060145,Ex-post DWA
2021-10-31,ARWF1,-4.739422699678036,Ex-post DWA
2021-11-30,ARWF1,-1.367796124367576,Ex-post DWA
2021-12-31,ARWF1,-1.1862439581286495,Ex-post DWA
2022-01-31,ARWF1,-1.9784853421312647,Ex-post DWA
2022-02-28,ARWF1,2.6804924994707164,Ex-post DWA
2022-03-31,ARWF1,-7.60788535561985,Ex-post DWA
2022-04-30,ARWF1,3.0688862629661884,Ex-post DWA
2022-05-31,ARWF1,-5.452235266852881,Ex-post DWA
2022-06-30,ARWF1,-2.8197534869376852,Ex-post DWA
2022-07-31,ARWF1,5.111033622418233,Ex-post DWA
2022-08-31,ARWF1,1.5452101677695396,Ex-post DWA
2022-09-30,ARWF1,5.272221597378788,Ex-post DWA
2022-10-31,ARWF1,-0.8452454513596592,Ex-post DWA
2022-11-30,ARWF1,7.524087383676552,Ex-post DWA
2022-12-31,ARWF1,-1.1552291797641026,Ex-post DWA
2023-01-31,ARWF1,-3.1855505076483155,Ex-post DWA
2023-02-28,ARWF1,-6.833361932264481,Ex-post DWA
2023-03-31,ARWF1,0.5725860826130003,Ex-post DWA
2023-04-30,ARWF1,-11.14726322091505,Ex-post DWA
2023-05-31,ARWF1,10.780305964617156,Ex-post DWA
2023-06-30,ARWF1,-8.50500260189748,Ex-post DWA
