Period,DUID,Delta,Contract
2020-03-31,ARWF1,3.196327730192941,Ex-post DWA
2020-06-30,ARWF1,-0.027334599273611815,Ex-post DWA
2020-09-30,ARWF1,-1.6470784185879666,Ex-post DWA
2020-12-31,ARWF1,-1.0522248149781603,Ex-post DWA
2021-03-31,ARWF1,-1.2392830711519238,Ex-post DWA
2021-06-30,ARWF1,-1.7448670057534486,Ex-post DWA
2021-09-30,ARWF1,-4.272519418737371,Ex-post DWA
2021-12-31,ARWF1,-2.6475279592836785,Ex-post DWA
2022-03-31,ARWF1,-2.814478647271315,Ex-post DWA
2022-06-30,ARWF1,-6.153314479347188,Ex-post DWA
2022-09-30,ARWF1,12.597348721330064,Ex-post DWA
2022-12-31,ARWF1,-0.7089842888205524,Ex-post DWA
2023-03-31,ARWF1,-3.3168796303274846,Ex-post DWA
2023-06-30,ARWF1,-2.870697034577809,Ex-post DWA
2023-09-30,ARWF1,-2.2722412602756528,Ex-post DWA
2023-12-31,ARWF1,-4.48091166266391,Ex-post DWA
2024-03-31,ARWF1,-15.100532881860559,Ex-post DWA
2024-06-30,ARWF1,-4.238600646925875,Ex-post DWA
2024-09-30,ARWF1,-10.411265737849554,Ex-post DWA
2024-12-31,ARWF1,-8.852403109461495,Ex-post DWA
2020-03-31,BALDHWF1,-8.130508234804061,Ex-post DWA
2020-06-30,BALDHWF1,1.4131607880004609,Ex-post DWA
2020-09-30,BALDHWF1,2.5881527558228754,Ex-post DWA
2020-12-31,BALDHWF1,2.55028226978483,Ex-post DWA
2021-03-31,BALDHWF1,1.4708744337909394,Ex-post DWA
2021-06-30,BALDHWF1,9.403960167268664,Ex-post DWA
2021-09-30,BALDHWF1,0.5174217842014954,Ex-post DWA
2021-12-31,BALDHWF1,-1.9439691216253152,Ex-post DWA
2022-03-31,BALDHWF1,4.730219076146149,Ex-post DWA
2022-06-30,BALDHWF1,5.674061846041695,Ex-post DWA
2022-09-30,BALDHWF1,9.511135088136882,Ex-post DWA
2022-12-31,BALDHWF1,0.11282281434250052,Ex-post DWA
2023-03-31,BALDHWF1,1.990743053840724,Ex-post DWA
