Region,Date,Highest-priced hour,Lowest-priced hour
NSW,2015-01-01,16,5
NSW,2015-01-02,13,5
NSW,2015-01-03,16,5
NSW,2015-01-04,13,5
NSW,2015-01-05,16,1
NSW,2015-01-06,16,3
NSW,2015-01-07,15,3
NSW,2015-01-08,14,2
NSW,2015-01-09,11,22
NSW,2015-01-10,13,5
NSW,2015-01-11,20,5
NSW,2015-01-12,16,2
NSW,2015-01-13,15,2
NSW,2015-01-14,19,2
NSW,2015-01-15,8,3
NSW,2015-01-16,15,3
NSW,2015-01-17,23,3
NSW,2015-01-18,20,5
NSW,2015-01-19,7,3
NSW,2015-01-20,15,3
NSW,2015-01-21,13,2
NSW,2015-01-22,14,2
NSW,2015-01-23,15,3
NSW,2015-01-24,19,5
NSW,2015-01-25,16,5
NSW,2015-01-26,11,5
NSW,2015-01-27,11,2
NSW,2015-01-28,16,2
NSW,2015-01-29,14,3
NSW,2015-01-30,15,2
NSW,2015-01-31,15,2
NSW,2015-02-01,16,3
NSW,2015-02-02,13,2
NSW,2015-02-03,9,2
NSW,2015-02-04,16,2
NSW,2015-02-05,19,2
NSW,2015-02-06,6,2
NSW,2015-02-07,17,3
NSW,2015-02-08,17,6
NSW,2015-02-09,16,3
NSW,2015-02-10,15,2
NSW,2015-02-11,15,2
NSW,2015-02-12,12,2
NSW,2015-02-13,10,2
NSW,2015-02-14,13,3
NSW,2015-02-15,17,3
NSW,2015-02-16,16,2
NSW,2015-02-17,6,3
NSW,2015-02-18,19,1
NSW,2015-02-19,11,1
NSW,2015-02-20,10,1
NSW,2015-02-21,16,3
NSW,2015-02-22,17,23
NSW,2015-02-23,16,2
NSW,2015-02-24,5,1
NSW,2015-02-25,6,2
NSW,2015-02-26,6,2
NSW,2015-02-27,15,1
NSW,2015-02-28,16,2
NSW,2015-03-01,17,3
NSW,2015-03-02,19,1
NSW,2015-03-03,16,2
NSW,2015-03-04,15,23
NSW,2015-03-05,9,1
NSW,2015-03-06,19,2
NSW,2015-03-07,8,3
NSW,2015-03-08,19,5
NSW,2015-03-09,16,2
NSW,2015-03-10,12,1
NSW,2015-03-11,17,2
NSW,2015-03-12,6,3
NSW,2015-03-13,8,1
NSW,2015-03-14,19,3
NSW,2015-03-15,18,3
NSW,2015-03-16,16,3
NSW,2015-03-17,6,2
NSW,2015-03-18,18,2
NSW,2015-03-19,16,2
NSW,2015-03-20,11,3
NSW,2015-03-21,18,3
NSW,2015-03-22,18,3
NSW,2015-03-23,6,2
NSW,2015-03-24,6,3
NSW,2015-03-25,6,3
NSW,2015-03-26,7,3
NSW,2015-03-27,18,3
NSW,2015-03-28,18,3
NSW,2015-03-29,18,3
NSW,2015-03-30,6,3
NSW,2015-03-31,6,2
NSW,2015-04-01,6,2
NSW,2015-04-02,12,2
NSW,2015-04-03,18,2
NSW,2015-04-04,18,3
NSW,2015-04-05,18,5
NSW,2015-04-06,17,4
NSW,2015-04-07,18,3
NSW,2015-04-08,6,3
NSW,2015-04-09,6,3
NSW,2015-04-10,10,3
NSW,2015-04-11,6,4
NSW,2015-04-12,18,5
NSW,2015-04-13,18,3
NSW,2015-04-14,18,3
